experiment_id,mode,config_hash,delay_setting,method,n_seeds,mean_final_Rc,std_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_gain_vs_naive_pct,gain_ci95_low,gain_ci95_high
toy,fast,13b5551d55,0_delay,causal_labelled,3,256.9577291825663,78.8753089433904,45.53868085088134,167.7019147148389,346.21354365029373,0.0,0.0,0.0
toy,fast,13b5551d55,0_delay,naive,3,256.9577291825663,78.8753089433904,45.53868085088134,167.7019147148389,346.21354365029373,NA,NA,NA
toy,fast,13b5551d55,0_delay,oracle,3,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
toy,fast,13b5551d55,geom_0.15,causal_labelled,3,329.5022004278865,73.6974295540868,42.549230791635495,246.10570807628096,412.8986927794921,49.64024588486134,44.018729780652954,55.26176198906973
toy,fast,13b5551d55,geom_0.15,naive,3,649.1642452279593,84.99026138606642,49.069150289742105,552.9887106600648,745.3397797958538,NA,NA,NA
toy,fast,13b5551d55,geom_0.15,oracle,3,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
toy,fast,13b5551d55,mixed_geom_0.6+0.1_w0.2,causal_labelled,3,334.09791306599163,109.47530726123398,63.205598116890435,210.2149407568864,457.9808853750969,45.420210128810716,29.307479298281102,61.53294095934033
toy,fast,13b5551d55,mixed_geom_0.6+0.1_w0.2,naive,3,610.1853118887026,129.42545299114119,74.72382012442462,463.72662444483035,756.6439993325748,NA,NA,NA
toy,fast,13b5551d55,mixed_geom_0.6+0.1_w0.2,oracle,3,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
toy,fast,13b5551d55,piece_0.6to0.15,causal_labelled,3,305.99162683522786,102.23359296785117,59.024592420211505,190.3034256916133,421.6798279788424,44.66014094617844,28.598012309308697,60.722269583048174
toy,fast,13b5551d55,piece_0.6to0.15,naive,3,545.6736046507406,49.598852511914686,28.635910849250493,489.5472193862096,601.7999899152716,NA,NA,NA
toy,fast,13b5551d55,piece_0.6to0.15,oracle,3,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
